From Geojson;From Wiki
;Rabenstein
Räckelwitz - Worklecy;Räckelwitz
Rackwitz;Rackwitz
Radeberg;Radeberg
Radebeul;Radebeul
Radeburg;
Radibor - Radwor;Radibor
Ralbitz-Rosenthal - Ralbicy-Róžant;Ralbitz-Rosenthal
Rammenau;Rammenau
Raschau-Markersbach;Raschau-Markersbach
Rathen;
Rathmannsdorf;
Rechenberg-Bienenmühle;Rechenberg-Bienenmühle
Regis-Breitingen;
Reichenbach;Reichenbach
Reichenbach/Oberlausitz;Reichenbach
;Reichenbrand
;Reichenhain
Reinhardtsdorf-Schöna;
Reinsberg;Reinsberg
Reinsdorf;Reinsdorf
Remse;Remse
;Reuth
Riesa;
Rietschen - Rěčicy;Rietschen
Rochlitz;Rochlitz
Röderaue;
Rodewisch;Rodewisch
;Röhrsdorf
Rosenbach;Rosenbach
Rosenbach/Vogtland;Rosenbach
Rosenthal-Bielatal;
Rossau;Rossau
Roßwein;Roßwein
Rötha;
Rothenburg/Oberlausitz;Rothenburg
;Rottluff
Sayda;Sayda
Scheibenberg;Scheibenberg
Schirgiswalde-Kirschau;Schirgiswalde-Kirschau
Schkeuditz;Schkeuditz
Schleife - Slepo;Schleife
Schlettau;Schlettau
;Schloßchemnitz
Schmölln-Putzkau;Schmölln-Putzkau
Schneeberg;Schneeberg
;Schönau
Schönau-Berzdorf auf dem Eigen;Schönau-Berzdorf a. d. Eigen
Schönbach;Schönbach
Schönberg;
Schöneck;Schöneck,Bad Brambach
Schönfeld;Schönfeld-Weißig)
Schönheide;Schönheide
Schönwölkau;Schönwölkau
Schöpstal;Schöpstal
Schwarzenberg/Erzgebirge;Schwarzenberg
Schwepnitz;Schwepnitz
Sebnitz;
Seelitz;Seelitz
Sehmatal;Sehmatal
Seiffen/Erzgebirge;Seiffen
Seifhennersdorf;Seifhennersdorf
;Siegmar
Sohland an der Spree;Sohland
;Sonnenberg
Spreetal - Sprjewiny Doł;Spreetal
St. Egidien;St. Egidien
Stauchitz;
Steina;Steina
Steinberg;Steinberg
Steinigtwolmsdorf;Steinigtwolmsdorf
;Stelzendorf
Stollberg/Erzgebirge;Stollberg
Stolpen;
Strehla;
Striegistal;Striegistal
